Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
252,5.526718,4.992366,-9.89313,-0.711548,0.177734,0.658203,0,0,0
255,10.076336,5.923664,-7.435115,-0.717773,0.231934,0.684448,0,0,0
2,11.419847,4.778626,-10.793893,-0.719849,0.182861,0.645996,0,0,0
5,7.725191,3.572519,-14.229008,-0.727539,0.151123,0.655762,0,0,0
8,2.045802,5.694656,-16.458015,-0.737305,0.231079,0.668579,0,0,0
11,1.725191,5.526718,-9.083969,-0.722412,0.213867,0.642822,0,0,0
14,4.503817,5.328244,-11.526718,-0.738159,0.151489,0.651855,0,0,0
17,10.167939,5.40458,-7.770992,-0.7323,0.197632,0.672607,0,0,0
20,8.21374,4,-13.251908,-0.737671,0.123413,0.647339,0,0,0
23,6.10687,4.137405,-14.59542,-0.738159,0.12915,0.662598,0,0,0
26,8.259542,5.343511,-7.007634,-0.703979,0.185303,0.663696,0,0,0
29,4.824427,4.793893,-13.633588,-0.752197,0.160522,0.630371,0,0,0
32,9.099237,4.534351,-8.580153,-0.734131,0.197144,0.658569,0,0,0
35,7.51145,4.137405,-9.89313,-0.726196,0.154541,0.648804,0,0,0
38,6.687023,5.557252,-12.091603,-0.748901,0.214722,0.664551,0,0,0
41,5.083969,3.78626,-12.21374,-0.71936,0.102173,0.637695,0,0,0
44,4.320611,3.954198,-14.59542,-0.762573,0.150146,0.675293,0,0,0
47,6.381679,3.145038,-11.725191,-0.718262,0.1073,0.650024,0,0,0
50,8.70229,4.519084,-10.320611,-0.730225,0.172119,0.664429,0,0,0
53,11.435115,3.801527,-10.167939,-0.742554,0.160034,0.633057,0,0,0
56,11.877863,3.755725,-10.10687,-0.741455,0.1875,0.654541,0,0,0
59,3.969466,3.450382,-16.076336,-0.761108,0.162964,0.634644,0,0,0
62,6.183206,3.007634,-12.030534,-0.741333,0.208984,0.642822,0,0,0
65,5.358779,2.229008,-11.755725,-0.735107,0.142212,0.622559,0,0,0
68,9.358779,3.251908,-10.931298,-0.75354,0.18042,0.661865,0,0,0
71,7.435115,2.396947,-12.839695,-0.732788,0.122192,0.637817,0,0,0
74,7.083969,2.687023,-13.984733,-0.755249,0.173584,0.65918,0,0,0
77,7.938931,2.442748,-12.198473,-0.734009,0.148926,0.640625,0,0,0
80,10.152672,3.038168,-9.236641,-0.732544,0.18457,0.648315,0,0,0
83,10.335878,3.755725,-10.396947,-0.743652,0.204102,0.642334,0,0,0
86,9.29771,2.763359,-10.778626,-0.729736,0.190186,0.639404,0,0,0
89,5.160305,3.862595,-14.015267,-0.761719,0.230469,0.663086,0,0,0
92,8.152672,2.610687,-8.030534,-0.709106,0.168701,0.632935,0,0,0
95,8.687023,4.030534,-9.557252,-0.732422,0.201416,0.660034,0,0,0
98,7.068702,4.305344,-13.358779,-0.759399,0.204712,0.661743,0,0,0
