Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
222,-0.305344,-2.717557,1.160305,-0.594971,0.111572,0.769531,0,0,0
225,-0.305344,-2.519084,1.007634,-0.598267,0.110718,0.766602,0,0,0
228,0.122137,-2.351145,1.068702,-0.598755,0.107788,0.766235,0,0,0
231,0.320611,-2.305344,1.160305,-0.590454,0.104858,0.765625,0,0,0
234,0.564885,-1.694656,0.793893,-0.596436,0.108276,0.773438,0,0,0
237,0.625954,-1.877863,1.19084,-0.601685,0.109619,0.775391,0,0,0
240,0.854962,-1.618321,0.442748,-0.596924,0.113159,0.775757,0,0,0
243,0.656489,-1.541985,0.48855,-0.593384,0.113037,0.774902,0,0,0
246,0.610687,-1.496183,0.503817,-0.595337,0.111694,0.772949,0,0,0
249,0.793893,-1.526718,0.198473,-0.59314,0.115601,0.77478,0,0,0
252,0.549618,-1.343511,0.122137,-0.591309,0.120117,0.777222,0,0,0
255,0.610687,-1.221374,0.274809,-0.594238,0.119995,0.772583,0,0,0
2,0.503817,-1.099237,0.274809,-0.591064,0.120728,0.772949,0,0,0
5,0.442748,-0.824427,0.305344,-0.591919,0.122192,0.772339,0,0,0
8,0.687023,-0.687023,0.625954,-0.594849,0.117798,0.771729,0,0,0
11,0.931298,-0.610687,0.519084,-0.59314,0.117676,0.772095,0,0,0
14,1.083969,-0.335878,0.10687,-0.59375,0.121826,0.774658,0,0,0
17,0.763359,-0.366412,0.564885,-0.599854,0.124023,0.77832,0,0,0
20,1.022901,-0.442748,0.854962,-0.598389,0.113159,0.780884,0,0,0
23,1.083969,-0.366412,0.259542,-0.60498,0.117798,0.783447,0,0,0
26,0.748092,-0.427481,0.152672,-0.603027,0.117798,0.786621,0,0,0
29,0.778626,-0.717557,0.671756,-0.605103,0.114502,0.788818,0,0,0
32,1.083969,-0.534351,0.366412,-0.610229,0.11438,0.790527,0,0,0
35,1.038168,-0.59542,0.167939,-0.608521,0.115845,0.789551,0,0,0
38,0.916031,-0.793893,0.198473,-0.606201,0.115112,0.790649,0,0,0
41,1.160305,-0.992366,0.458015,-0.615234,0.116333,0.787842,0,0,0
44,1.29771,-0.916031,0.366412,-0.609131,0.117188,0.788452,0,0,0
47,1.541985,-1.007634,0.335878,-0.613281,0.115723,0.788696,0,0,0
50,1.541985,-0.900763,0.366412,-0.609741,0.118652,0.786011,0,0,0
53,1.633588,-1.053435,0.839695,-0.611816,0.121216,0.786255,0,0,0
56,1.603053,-0.977099,0.824427,-0.610229,0.118774,0.781616,0,0,0
59,1.694656,-0.839695,0.503817,-0.614258,0.124756,0.781982,0,0,0
62,1.480916,-0.992366,1.129771,-0.613892,0.125732,0.783569,0,0,0
65,1.618321,-0.564885,1.038168,-0.60791,0.122314,0.777344,0,0,0
68,1.664122,-0.473282,0.763359,-0.604614,0.121948,0.770752,0,0,0
71,1.572519,-0.931298,1.969466,-0.611938,0.12207,0.776733,0,0,0
74,2,-0.335878,1.603053,-0.604492,0.116699,0.775757,0,0,0
77,2,0.091603,1.19084,-0.608398,0.128174,0.778442,0,0,0
80,1.877863,-0.320611,2.320611,-0.610718,0.120361,0.777588,0,0,0
83,2.48855,0.167939,1.938931,-0.607544,0.119385,0.777832,0,0,0
86,2.412214,0.183206,1.709924,-0.602905,0.116943,0.769409,0,0,0
89,2.458015,0.091603,2.21374,-0.609863,0.118042,0.779663,0,0,0
92,2.305344,0.290076,2.167939,-0.612671,0.120728,0.786255,0,0,0
95,2.442748,0.320611,2.198473,-0.611572,0.119141,0.783569,0,0,0
98,2.519084,0.21374,2.473282,-0.609009,0.119873,0.784668,0,0,0
101,2.854962,0.320611,2.427481,-0.612671,0.116577,0.788696,0,0,0
104,2.977099,0.351145,2.122137,-0.608521,0.118652,0.783081,0,0,0
107,2.885496,0.259542,2.259542,-0.607422,0.118286,0.78125,0,0,0
110,3.007634,0.137405,2.534351,-0.608398,0.119385,0.784912,0,0,0
113,2.793893,0.427481,1.984733,-0.608643,0.122681,0.787231,0,0,0
116,2.763359,-0.015267,2.198473,-0.609497,0.122681,0.784668,0,0,0
119,2.732824,0.015267,2.320611,-0.609375,0.118774,0.788086,0,0,0
122,2.80916,-0.076336,2.122137,-0.610107,0.124268,0.789307,0,0,0
125,2.687023,-0.229008,2.015267,-0.609497,0.126709,0.78772,0,0,0
